ip,protocol,slot,group,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Vendor Name,19758,Vendor Name,string,R--,CISCOSOLIDOPTICS,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Vendor Part Number,19766,Vendor Part Number,string,R--,CIS-QSFP100G-DR1,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Vendor Serial Number,19762,Vendor Serial Number,string,R--,SOZ131GG0806,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Temperature,19770,Temperature,int,R--,60,,C,0,0,1,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Power Rx 1,47398,Power Rx 1,float,R--,0.9660000205039978,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Power Rx 2,47415,Power Rx 2,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Power Rx 3,47416,Power Rx 3,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Power Rx 4,47417,Power Rx 4,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Power Tx 1,47404,Power Tx 1,float,R--,1.656999945640564,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Power Tx 2,47418,Power Tx 2,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Power Tx 3,47419,Power Tx 3,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Power Tx 4,47420,Power Tx 4,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 3/Announcement Rate,47460,Announcement Rate,enum,RW-,203,60 s,,,,,60 s,Off|1 s|3 s|10 s|30 s|60 s,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 3/Present,47461,Present,enum,R--,16,NA,,,,,NA,NA|OK,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 3/Vendor Name,47462,Vendor Name,string,R--,NA,,,,,,,,32,,,,,
